payment_id,customer_id,merchant_id,amount,currency,payment_method,status,failure_reason,attempt_count,event_timestamp,customer_success_rate,previous_retry_success_rate,contact_count,actual_recovery_outcome
pay_100001,cust_0197,merchant_017,13717.74,INR,upi,failed,authentication_failed,2,2026-05-19T07:57:00,0.36,0.25,0,1
pay_100002,cust_0192,merchant_013,17243.69,INR,card,failed,closed_account,5,2026-02-09T10:44:00,0.59,0.46,2,0
pay_100003,cust_0045,merchant_016,6395.94,INR,upi,failed,network_error,3,2026-06-22T08:53:00,0.72,0.82,0,1
pay_100004,cust_0102,merchant_020,9307.74,INR,upi,failed,processing_error,5,2026-03-26T02:53:00,0.21,0.27,0,0
pay_100005,cust_0091,merchant_017,13239.96,INR,upi,failed,authentication_failed,2,2026-05-25T03:35:00,0.37,0.88,2,1
pay_100006,cust_0045,merchant_005,6265.16,INR,upi,failed,bank_timeout,4,2026-06-20T12:25:00,0.34,0.68,0,1
pay_100007,cust_0280,merchant_013,16520.16,INR,card,failed,authentication_failed,1,2026-02-08T11:46:00,0.31,0.44,2,1
pay_100008,cust_0078,merchant_020,18830.35,INR,upi,failed,authentication_failed,2,2026-06-07T06:33:00,0.75,0.88,2,0
pay_100009,cust_0288,merchant_011,15434.29,INR,card,failed,bank_timeout,2,2026-01-27T11:44:00,0.31,0.25,1,0
pay_100010,cust_0006,merchant_019,16667.82,INR,netbanking,failed,invalid_details,2,2026-01-14T04:16:00,0.29,0.8,2,0
pay_100011,cust_0274,merchant_003,3706.39,INR,upi,failed,network_error,4,2026-03-17T09:04:00,0.52,0.8,1,0
pay_100012,cust_0116,merchant_010,2204.4,INR,netbanking,failed,closed_account,4,2026-02-26T16:36:00,0.77,0.44,0,0
pay_100013,cust_0042,merchant_015,8480.07,INR,netbanking,failed,network_error,2,2026-02-23T22:53:00,0.84,0.67,1,1
pay_100014,cust_0132,merchant_014,17643.42,INR,wallet,failed,bank_timeout,3,2026-04-08T01:46:00,0.43,0.68,1,1
pay_100015,cust_0226,merchant_007,7658.51,INR,card,failed,blocked_payment,4,2026-05-04T11:45:00,0.85,0.24,2,0
pay_100016,cust_0134,merchant_014,14886.02,INR,card,failed,authentication_failed,2,2026-05-02T13:44:00,0.73,0.69,2,1
pay_100017,cust_0001,merchant_017,6279.64,INR,card,failed,authentication_failed,1,2026-04-02T07:46:00,0.88,0.66,0,1
pay_100018,cust_0240,merchant_018,10667.52,INR,netbanking,failed,insufficient_funds,3,2026-06-05T00:03:00,0.84,0.89,2,0
pay_100019,cust_0030,merchant_014,6064.44,INR,netbanking,failed,network_error,3,2026-04-16T16:17:00,0.22,0.19,0,1
pay_100020,cust_0236,merchant_011,2656.53,INR,card,failed,network_error,4,2026-05-24T16:16:00,0.28,0.83,1,1
pay_100021,cust_0092,merchant_012,5078.34,INR,netbanking,failed,closed_account,4,2026-04-13T06:54:00,0.89,0.69,1,0
pay_100022,cust_0244,merchant_006,19610.67,INR,card,failed,insufficient_funds,2,2026-04-15T06:35:00,0.87,0.69,1,0
pay_100023,cust_0003,merchant_019,13644.53,INR,netbanking,failed,blocked_payment,4,2026-03-03T02:55:00,0.61,0.2,0,0
pay_100024,cust_0204,merchant_002,1050.35,INR,card,failed,inactivity,2,2026-04-18T01:38:00,0.66,0.45,0,0
pay_100025,cust_0097,merchant_004,9744.77,INR,netbanking,failed,payment_method_declined,1,2026-05-22T02:09:00,0.43,0.81,2,1
pay_100026,cust_0274,merchant_003,14894.14,INR,upi,failed,processing_error,2,2026-02-01T14:38:00,0.49,0.58,2,0
pay_100027,cust_0195,merchant_006,7142.78,INR,card,failed,repeated_attempts,1,2026-05-19T04:55:00,0.85,0.23,0,0
pay_100028,cust_0224,merchant_007,6218.56,INR,upi,failed,payment_method_declined,3,2026-06-12T13:56:00,0.8,0.62,0,1
pay_100029,cust_0050,merchant_008,11378.29,INR,upi,failed,network_error,1,2026-03-10T14:25:00,0.71,0.54,0,0
pay_100030,cust_0024,merchant_019,7990.88,INR,netbanking,failed,invalid_details,2,2026-03-09T22:10:00,0.33,0.86,1,0
pay_100031,cust_0253,merchant_014,16052.22,INR,upi,failed,blocked_payment,3,2026-02-23T20:04:00,0.3,0.11,2,0
pay_100032,cust_0018,merchant_013,16296.39,INR,card,failed,authentication_failed,3,2026-03-01T12:29:00,0.68,0.37,2,0
pay_100033,cust_0117,merchant_006,10529.98,INR,upi,failed,payment_method_declined,3,2026-03-14T17:38:00,0.75,0.12,2,0
pay_100034,cust_0015,merchant_007,2721.93,INR,card,failed,network_error,5,2026-03-21T03:16:00,0.71,0.24,0,1
pay_100035,cust_0002,merchant_002,10109.26,INR,wallet,failed,inactivity,2,2026-05-20T02:50:00,0.25,0.85,2,1
pay_100036,cust_0190,merchant_017,3281.59,INR,wallet,failed,bank_timeout,2,2026-06-16T22:07:00,0.66,0.39,1,1
pay_100037,cust_0128,merchant_006,16833.93,INR,netbanking,failed,network_error,2,2026-01-25T12:08:00,0.88,0.47,0,1
pay_100038,cust_0117,merchant_014,7969.06,INR,upi,failed,network_error,5,2026-02-12T17:35:00,0.61,0.78,0,1
pay_100039,cust_0016,merchant_002,8791.48,INR,netbanking,failed,network_error,4,2026-01-18T15:57:00,0.46,0.58,0,0
pay_100040,cust_0272,merchant_010,4005.18,INR,netbanking,failed,network_error,3,2026-02-16T09:44:00,0.24,0.35,2,1
pay_100041,cust_0029,merchant_001,7163.49,INR,card,failed,bank_timeout,3,2026-02-17T09:36:00,0.47,0.22,2,1
pay_100042,cust_0276,merchant_005,15617.97,INR,upi,failed,payment_method_declined,3,2026-06-11T23:48:00,0.86,0.42,1,0
pay_100043,cust_0059,merchant_014,1711.2,INR,netbanking,failed,bank_timeout,3,2026-04-28T10:05:00,0.37,0.39,0,1
pay_100044,cust_0177,merchant_004,5538.09,INR,card,failed,insufficient_funds,5,2026-02-17T20:17:00,0.64,0.42,2,0
pay_100045,cust_0125,merchant_007,8901.07,INR,wallet,failed,bank_timeout,5,2026-02-19T07:56:00,0.23,0.33,0,0
pay_100046,cust_0254,merchant_015,8573.8,INR,netbanking,failed,insufficient_funds,4,2026-05-15T07:05:00,0.68,0.32,0,1
pay_100047,cust_0035,merchant_019,18513.12,INR,wallet,failed,insufficient_funds,1,2026-03-14T12:31:00,0.39,0.69,1,0
pay_100048,cust_0067,merchant_014,3928.21,INR,upi,failed,repeated_attempts,1,2026-04-13T12:14:00,0.47,0.61,0,1
pay_100049,cust_0147,merchant_006,16774.32,INR,netbanking,failed,bank_timeout,1,2026-03-20T05:27:00,0.83,0.29,0,1
pay_100050,cust_0040,merchant_009,18977.13,INR,netbanking,failed,blocked_payment,2,2026-03-12T07:07:00,0.76,0.19,1,0
pay_100051,cust_0036,merchant_009,9521.92,INR,card,failed,processing_error,3,2026-01-23T12:11:00,0.98,0.23,2,1
pay_100052,cust_0257,merchant_009,12726.92,INR,wallet,failed,invalid_details,5,2026-05-31T19:36:00,0.67,0.28,1,0
pay_100053,cust_0265,merchant_003,4613.22,INR,wallet,failed,processing_error,5,2026-04-22T17:05:00,0.35,0.53,0,0
pay_100054,cust_0217,merchant_003,8572.59,INR,upi,failed,payment_method_switch,4,2026-05-25T10:33:00,0.65,0.39,2,1
