payment_id,customer_id,merchant_id,amount,currency,payment_method,status,failure_reason,attempt_count,event_timestamp,customer_success_rate,previous_retry_success_rate,contact_count,actual_recovery_outcome
pay_000001,cust_0280,merchant_003,11850.8,INR,upi,failed,inactivity,2,2026-05-15T01:41:00,0.22,0.33,0,1
pay_000002,cust_0280,merchant_014,4486.77,INR,netbanking,failed,bank_timeout,1,2026-02-06T04:44:00,0.37,0.53,2,1
pay_000003,cust_0173,merchant_004,1945.64,INR,upi,failed,payment_method_switch,4,2026-02-20T14:02:00,0.21,0.78,1,1
pay_000004,cust_0194,merchant_003,11085.61,INR,netbanking,failed,authentication_failed,1,2026-03-25T15:15:00,0.47,0.32,2,0
pay_000005,cust_0120,merchant_004,7664.51,INR,wallet,failed,payment_method_declined,2,2026-06-29T08:29:00,0.76,0.14,1,1
pay_000006,cust_0037,merchant_020,12736.07,INR,card,failed,inactivity,2,2026-02-18T14:26:00,0.49,0.41,2,0
pay_000007,cust_0029,merchant_008,16453.87,INR,netbanking,failed,network_error,5,2026-05-05T15:07:00,0.5,0.94,0,1
pay_000008,cust_0256,merchant_013,17705.19,INR,wallet,failed,authentication_failed,5,2026-02-27T06:50:00,0.25,0.88,2,1
pay_000009,cust_0299,merchant_013,7303.73,INR,card,failed,network_error,5,2026-05-16T23:45:00,0.31,0.73,1,0
pay_000010,cust_0217,merchant_020,1364.2,INR,wallet,failed,insufficient_funds,1,2026-04-25T05:21:00,0.27,0.14,0,1
pay_000011,cust_0275,merchant_009,15395.11,INR,netbanking,failed,payment_method_declined,5,2026-05-04T20:12:00,0.57,0.31,0,0
pay_000012,cust_0055,merchant_010,16849.22,INR,card,failed,bank_timeout,3,2026-05-19T17:03:00,0.54,0.49,2,1
pay_000013,cust_0010,merchant_004,18589.06,INR,netbanking,failed,network_error,5,2026-04-20T00:49:00,0.8,0.56,0,1
pay_000014,cust_0036,merchant_018,15340.11,INR,card,failed,network_error,1,2026-05-14T05:45:00,0.39,0.58,0,1
pay_000015,cust_0277,merchant_007,14287.68,INR,wallet,failed,inactivity,5,2026-03-19T00:43:00,0.95,0.24,2,0
pay_000016,cust_0033,merchant_011,518.58,INR,card,failed,blocked_payment,5,2026-01-23T00:40:00,0.71,0.47,1,0
pay_000017,cust_0170,merchant_003,10331.71,INR,netbanking,failed,payment_method_declined,1,2026-01-13T06:28:00,0.21,0.7,0,0
pay_000018,cust_0243,merchant_014,3889.16,INR,upi,failed,inactivity,5,2026-03-28T01:07:00,0.37,0.21,2,0
pay_000019,cust_0051,merchant_002,8112.16,INR,netbanking,failed,inactivity,1,2026-04-29T22:59:00,0.48,0.45,2,0
pay_000020,cust_0143,merchant_015,5071.15,INR,upi,failed,payment_method_switch,5,2026-01-26T12:27:00,0.29,0.26,1,0
pay_000021,cust_0048,merchant_008,3409.59,INR,wallet,failed,insufficient_funds,1,2026-04-09T09:51:00,0.88,0.57,2,0
pay_000022,cust_0136,merchant_015,5776.46,INR,wallet,failed,insufficient_funds,2,2026-01-01T09:25:00,0.88,0.87,1,0
pay_000023,cust_0161,merchant_002,1097.83,INR,wallet,failed,network_error,5,2026-04-09T16:53:00,0.43,0.92,2,1
pay_000024,cust_0035,merchant_008,8135.13,INR,card,failed,insufficient_funds,5,2026-06-04T23:34:00,0.87,0.23,0,0
pay_000025,cust_0134,merchant_007,13427.55,INR,netbanking,failed,payment_method_declined,5,2026-04-06T04:04:00,0.23,0.17,2,0
pay_000026,cust_0038,merchant_001,9219.88,INR,upi,failed,network_error,3,2026-02-27T13:23:00,0.51,0.67,1,0
pay_000027,cust_0146,merchant_006,8819.87,INR,netbanking,failed,bank_timeout,3,2026-06-10T01:35:00,0.37,0.33,0,1
pay_000028,cust_0054,merchant_005,5362.87,INR,upi,failed,payment_method_declined,1,2026-05-29T17:58:00,0.98,0.66,2,1
pay_000029,cust_0136,merchant_017,9821.78,INR,upi,failed,repeated_attempts,2,2026-03-04T10:04:00,0.32,0.34,2,0
pay_000030,cust_0135,merchant_006,14850.5,INR,wallet,failed,bank_timeout,1,2026-05-21T09:04:00,0.53,0.34,1,1
pay_000031,cust_0299,merchant_018,3047.07,INR,card,failed,payment_method_declined,2,2026-01-07T13:24:00,0.29,0.9,2,0
pay_000032,cust_0053,merchant_012,15624.31,INR,wallet,failed,bank_timeout,1,2026-02-08T05:50:00,0.49,0.89,1,1
pay_000033,cust_0091,merchant_014,593.25,INR,netbanking,failed,blocked_payment,2,2026-06-27T17:06:00,0.79,0.89,0,0
pay_000034,cust_0056,merchant_013,17456.12,INR,wallet,failed,payment_method_switch,2,2026-01-29T23:32:00,0.53,0.67,1,0
pay_000035,cust_0099,merchant_013,6632.41,INR,upi,failed,network_error,3,2026-02-10T13:58:00,0.85,0.49,0,1
pay_000036,cust_0170,merchant_001,2395.3,INR,netbanking,failed,blocked_payment,4,2026-06-28T14:42:00,0.42,0.65,2,0
pay_000037,cust_0161,merchant_014,12163.56,INR,upi,failed,network_error,1,2026-03-21T02:38:00,0.96,0.33,2,1
pay_000038,cust_0276,merchant_007,7348.01,INR,upi,failed,authentication_failed,4,2026-04-05T15:33:00,0.66,0.32,0,0
pay_000039,cust_0159,merchant_014,6591.04,INR,netbanking,failed,blocked_payment,1,2026-06-13T20:21:00,0.93,0.63,2,0
pay_000040,cust_0292,merchant_010,8180.9,INR,upi,failed,payment_method_declined,4,2026-05-17T04:38:00,0.35,0.67,2,0
pay_000041,cust_0227,merchant_007,10272.36,INR,card,failed,processing_error,5,2026-02-28T15:55:00,0.37,0.77,2,0
pay_000042,cust_0121,merchant_010,4570.35,INR,card,failed,inactivity,5,2026-01-18T00:00:00,0.42,0.66,1,0
pay_000043,cust_0295,merchant_007,14395.08,INR,wallet,failed,network_error,5,2026-03-24T21:44:00,0.24,0.94,0,1
pay_000044,cust_0091,merchant_017,9344.54,INR,card,failed,insufficient_funds,1,2026-05-22T16:58:00,0.39,0.66,0,1
pay_000045,cust_0163,merchant_015,12291.78,INR,wallet,failed,closed_account,4,2026-04-07T16:33:00,0.3,0.21,2,0
pay_000046,cust_0142,merchant_017,9743.48,INR,card,failed,payment_method_switch,4,2026-02-17T04:25:00,0.63,0.86,1,0
pay_000047,cust_0042,merchant_005,3101.53,INR,wallet,failed,processing_error,3,2026-02-28T04:49:00,0.26,0.34,1,0
pay_000048,cust_0032,merchant_007,16674.53,INR,wallet,failed,inactivity,4,2026-04-09T18:42:00,0.76,0.15,1,0
pay_000049,cust_0181,merchant_010,15094.15,INR,wallet,failed,closed_account,5,2026-03-28T19:57:00,0.66,0.69,1,1
